Umur,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD,JenisKelamin,Type
21,7.6,8.6,9.6,10.9,12.3,14,16,female,weight
22,7.8,8.7,9.8,11.1,12.5,14.3,16.4,female,weight
23,7.9,8.9,10,11.3,12.8,14.6,16.7,female,weight
24,8.1,9,10.2,11.5,13,14.8,17,female,weight
25,8.2,9.2,10.3,11.7,13.3,15.1,17.3,female,weight
26,8.4,9.4,10.5,11.9,13.5,15.4,17.7,female,weight
27,8.5,9.5,10.7,12.1,13.7,15.7,18,female,weight
28,8.6,9.7,10.9,12.3,14,16,18.3,female,weight
29,8.8,9.8,11.1,12.5,14.2,16.2,18.7,female,weight
30,8.9,10,11.2,12.7,14.4,16.5,19,female,weight
31,9,10.1,11.4,12.9,14.7,16.8,19.3,female,weight
32,9.1,10.3,11.6,13.1,14.9,17.1,19.6,female,weight
33,9.3,10.4,11.7,13.3,15.1,17.3,20,female,weight
34,9.4,10.5,11.9,13.5,15.4,17.6,20.3,female,weight
35,9.5,10.7,12,13.7,15.6,17.9,20.6,female,weight
36,9.6,10.8,12.2,13.9,15.8,18.1,20.9,female,weight
37,9.7,10.9,12.4,14,16,18.4,21.3,female,weight
38,9.8,11.1,12.5,14.2,16.3,18.7,21.6,female,weight
39,9.9,11.2,12.7,14.4,16.5,19,22,female,weight
40,10.1,11.3,12.8,14.6,16.7,19.2,22.3,female,weight
41,10.2,11.5,13,14.8,16.9,19.5,22.7,female,weight
42,10.3,11.6,13.1,15,17.2,19.8,23,female,weight
43,10.4,11.7,13.3,15.2,17.4,20.1,23.4,female,weight
44,10.5,11.8,13.4,15.3,17.6,20.4,23.7,female,weight
45,10.6,12,13.6,15.5,17.8,20.7,24.1,female,weight
46,10.7,12.1,13.7,15.7,18.1,20.9,24.5,female,weight
47,10.8,12.2,13.9,15.9,18.3,21.2,24.8,female,weight
48,10.9,12.3,14,16.1,18.5,21.5,25.2,female,weight
49,11,12.4,14.2,16.3,18.8,21.8,25.5,female,weight
50,11.1,12.6,14.3,16.4,19,22.1,25.9,female,weight
51,11.2,12.7,14.5,16.6,19.2,22.4,26.3,female,weight
52,11.3,12.8,14.6,16.8,19.4,22.6,26.6,female,weight
53,11.4,12.9,14.8,17,19.7,22.9,27,female,weight
54,11.5,13,14.9,17.2,19.9,23.2,27.4,female,weight
55,11.6,13.2,15.1,17.3,20.1,23.5,27.7,female,weight
56,11.7,13.3,15.2,17.5,20.3,23.8,28.1,female,weight
57,11.8,13.4,15.3,17.7,20.6,24.1,28.5,female,weight
58,11.9,13.5,15.5,17.9,20.8,24.4,28.8,female,weight
59,12,13.6,15.6,18,21,24.6,29.2,female,weight
60,12.1,13.7,15.8,18.2,21.2,24.9,29.5,female,weight
0,44.2,46.1,48,49.9,51.8,53.7,55.6,male,height
1,43.9,50.8,52.8,54.7,56.7,58.6,60.6,male,height
2,52.4,54.4,56.4,58.4,60.4,62.4,64.4,male,height
3,55.3,57.3,59.4,61.4,63.5,65.5,67.6,male,height
4,57.6,59.7,61.8,63.9,66,68,70.1,male,height
5,59.6,61.7,63.8,65.9,68,70.1,72.2,male,height
6,61.2,63.3,65.5,67.6,69.8,71.9,74,male,height
7,62.7,64.8,67,69.2,71.3,73.5,75.7,male,height
8,64,66.2,68.4,70.6,72.8,75,77.2,male,height
9,65.2,67.5,69.7,72,74.2,76.5,78.7,male,height
10,66.4,68.7,71,73.3,75.6,77.9,80.1,male,height
11,67.6,69.9,72.2,74.5,76.9,79.2,81.5,male,height
12,68.6,71,73.4,75.7,78.1,80.5,82.9,male,height
13,69.6,72.1,74.5,76.9,79.3,81.8,84.2,male,height
14,70.6,73.1,75.6,78,80.5,83,85.5,male,height
15,71.6,74.1,76.6,79.1,81.7,84.2,86.7,male,height
16,72.5,75,77.6,80.2,82.8,85.4,88,male,height
17,73.3,76,78.6,81.2,83.9,86.5,89.2,male,height
18,74.2,76.9,79.6,82.3,85,87.7,90.4,male,height
19,75,77.7,80.5,83.2,80,0.8,91.5,male,height
20,75.8,78.6,81.4,84.2,87,89.8,92.6,male,height
21,76.5,79.4,82.3,85.1,88,90.9,93.8,male,height
22,77.2,80.2,83.1,86,89,91.9,94.9,male,height
23,78,81,83.9,86.9,89.9,92.9,95.9,male,height
24,78,81,84.1,87.1,90.2,93.2,96.3,male,height
25,78.6,81.7,84.9,88,91.1,94.2,97.3,male,height
26,79.3,82.5,85.6,88.8,92,95.2,98.3,male,height
27,79.9,83.1,86.4,89.6,92.9,96.1,99.3,male,height
28,80.5,83.8,87.1,90.4,93.7,97,100.3,male,height
29,81.1,84.5,87.8,91.2,94.5,97.9,101.2,male,height
30,81.7,85.1,88.5,91.9,95.3,98.7,102.1,male,height
31,82.3,85.7,89.2,92.7,96.1,99.6,103,male,height
32,82.8,86.4,89.9,93.4,96.9,100.4,103.9,male,height
33,83.4,86.9,90.5,94.1,97.6,101.2,104.8,male,height
34,83.9,87.5,91.1,94.8,98.4,102,105.6,male,height
35,84.4,88.1,91.8,95.4,99.1,102.7,106.4,male,height
36,85,88.7,92.4,96.1,99.8,103.5,107.2,male,height
37,85.5,89.2,93,96.7,100.5,104.2,106,male,height
38,86,89.8,93.6,97.4,101.2,105,108.8,male,height
39,86.5,90.3,94.2,98,101.8,105.7,109.5,male,height
40,87,90.9,94.7,98.6,102.5,106.4,110.3,male,height
41,87.5,91.4,95.3,99.2,103.2,1071,111,male,height
42,88,91.9,95.9,99.9,103.8,107.8,111.7,male,height
43,88.4,92.4,96.4,100.4,104.5,106.5,112.5,male,height
44,88.9,93,97,101,105.1,109.1,113.2,male,height
45,89.4,93.5,97.5,101.6,105.7,109.8,113.9,male,height
46,89.8,94,98.1,102.2,106.3,110.4,114.6,male,height
47,90.3,94.4,98.6,102.8,106.9,111.1,115.2,male,height
48,90.7,94.9,99.1,103.3,107.5,111.7,115.9,male,height
49,91.2,95.4,99.7,103.9,108.1,112.4,116.6,male,height
50,91.6,95.9,100.2,104.4,108.7,113,117.3,male,height
51,92.1,96.4,100.7,105,109.3,113.6,117.9,male,height
52,92.5,96.9,101.2,105.6,109.9,114.2,118.6,male,height
53,93,97.4,101.7,106.1,110.5,114.9,119.2,male,height
54,93.4,97.8,102.3,106.7,111.1,115.5,119.9,male,height
55,93.9,98.3,102.8,107.2,111.7,116.1,120.6,male,height
56,94.3,98.8,103.3,107.8,112.3,116.7,121.2,male,height
57,94.7,99.3,103.8,108.3,112.8,117.4,121.9,male,height
58,95.2,99.7,104.3,108.9,113.4,118,122.6,male,height
59,95.6,100.2,104.8,109.4,114,118.6,123.2,male,height
60,96.1,100.7,105.3,110,114.6,119.2,123.9,male,height
0,43.6,45.4,47.3,49.1,51,52.9,54.7,female,height
1,47.8,49.8,51.7,53.7,55.6,57.6,59.5,female,height
2,51,53,55,57.1,59.1,61.1,63.2,female,height
3,53.5,55.6,57.7,59.8,61.9,64,66.1,female,height
4,55.6,57.8,59.9,62.1,64.3,66.4,68.6,female,height
5,57.4,59.6,61.8,64,66.2,68.5,70.7,female,height
6,58.9,61.2,63.5,65.7,68,70.3,72.5,female,height
7,60.3,62.7,65,67.3,69.6,71.9,74.2,female,height
8,61.7,64,66.4,68.7,71.1,73.5,75.8,female,height
9,62.9,65.3,67.7,70.1,72.6,75,77.4,female,height
10,64.1,66.5,69,71.5,73.9,76.4,78.9,female,height
11,65.2,67.7,70.3,72.8,75.3,77.8,80.3,female,height
12,66.3,68.9,71.4,74,76.6,79.2,81.7,female,height
